item	condition	lens	position	position_role	layer	rank	token	score	bucket	reason	country	expected_country	form_kind	source_form	fragment_ok	echo	echo_norm	mouth_top1	mouth_top5	is_control
boot	bare	J-lens	1	entity	8	1	ing	14.75	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	2	ting	13.81	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	3	ers	11.31	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	4	儿的	11.25	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	5	盔	10.75	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	6	er	10.62	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	7	 boots	10.0	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	8	erry	9.5	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	9	ie	9.5	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	10	erior	9.5	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	11	lessly	9.44	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	12	ress	9.12	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	13	ery	9.12	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	14	aly	8.94	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	15	´	8.94	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	16	 boot	8.81	UNSCORED	not_in_registry	NA	Italy			1	1	1	0	0	1
boot	bare	J-lens	1	entity	8	17	�	8.69	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	18	-boot	8.62	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	19	anks	8.62	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	20	gear	8.56	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	21	里斯	8.56	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	8	22	/boot	8.38	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	23	ner	8.31	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	24	ger	8.25	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	8	25	soles	8.19	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	1	ing	14.31	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	2	ting	12.62	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	3	ers	11.19	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	4	 boots	10.81	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	5	er	10.62	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	6	盔	10.38	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	7	儿的	10.12	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	8	 boot	9.38	UNSCORED	not_in_registry	NA	Italy			1	1	1	0	0	1
boot	bare	J-lens	1	entity	9	9	´	9.25	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	10	erry	9.12	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	11	ie	9.06	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	12	�	8.94	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	13	ress	8.94	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	14	-boot	8.81	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	15	erior	8.81	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	16	aly	8.75	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	17	anks	8.56	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	18	ery	8.56	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	19	gear	8.5	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	20	soles	8.44	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	21	/boot	8.38	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	22	ger	8.25	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	9	23	靴	8.19	UNSCORED	not_in_registry	NA	Italy			1	0	0	0	0	1
boot	bare	J-lens	1	entity	9	24	boot	8.06	UNSCORED	fragment_filter	NA	Italy			0	0	1	0	0	1
boot	bare	J-lens	1	entity	9	25	Boot	8.06	UNSCORED	not_in_registry	NA	Italy			1	0	1	0	0	1
boot	bare	J-lens	1	entity	10	1	ing	12.5	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
boot	bare	J-lens	1	entity	10	2	ting	10.81	UNSCORED	fragment_filter	NA	Italy			0	0	0	0	0	1
