word	prompt	sample	response
boot	main	1	Germany\n
boot	main	2	Germany\n
boot	main	3	Germany\n
boot	main	4	Germany\n
boot	main	5	Germany\n
boot	para	1	Germany\n
boot	para	2	Germany\n
sandal	main	1	Egypt\n
sandal	main	2	Greece\n
sandal	main	3	Italy\n
sandal	main	4	Spain\n
sandal	main	5	Italy\n
sandal	para	1	Italy\n
sandal	para	2	Thailand\n
croissant	main	1	France\n
croissant	main	2	France\n
croissant	main	3	France\n
croissant	main	4	France\n
croissant	main	5	France\n
croissant	para	1	France\n
croissant	para	2	France\n
cracker	main	1	USA\n
cracker	main	2	USA\n
cracker	main	3	USA\n
cracker	main	4	Ireland\n
cracker	main	5	USA\n
cracker	para	1	England\n
cracker	para	2	USA\n
sushi	main	1	Japan\n
sushi	main	2	Japan\n
sushi	main	3	Japan\n
sushi	main	4	Japan\n
sushi	main	5	Japan\n
sushi	para	1	Japan\n
sushi	para	2	Japan\n
salad	main	1	Italy\n
salad	main	2	Italy\n
salad	main	3	Italy\n
salad	main	4	Turkey\n
salad	main	5	Italy\n
salad	para	1	France\n
salad	para	2	France\n
kangaroo	main	1	Australia\n
kangaroo	main	2	Australia\n
kangaroo	main	3	Australia\n
kangaroo	main	4	Australia\n
kangaroo	main	5	Australia\n
kangaroo	para	1	Australia\n
kangaroo	para	2	Australia\n
hamster	main	1	Germany\n
hamster	main	2	Germany\n
hamster	main	3	Germany\n
hamster	main	4	Germany\n
hamster	main	5	Germany\n
hamster	para	1	France\n
hamster	para	2	Spain\n
tulip	main	1	Netherlands\n
tulip	main	2	Netherlands\n
tulip	main	3	Netherlands\n
tulip	main	4	Netherlands\n
tulip	main	5	Netherlands\n
tulip	para	1	Netherlands\n
tulip	para	2	The Netherlands\n
daisy	main	1	England\n
daisy	main	2	England\n
daisy	main	3	England\n
daisy	main	4	England\n
daisy	main	5	England\n
daisy	para	1	France\n
daisy	para	2	England\n
maple	main	1	Canada\n
maple	main	2	Canada\n
maple	main	3	Canada\n
maple	main	4	Canada\n
maple	main	5	Canada\n
maple	para	1	Canada\n
maple	para	2	Canada\n
birch	main	1	Canada\n
birch	main	2	Canada\n
birch	main	3	Canada\n
birch	main	4	Canada\n
birch	main	5	Canada\n
birch	para	1	Finland\n
birch	para	2	Finland\n
tango	main	1	Argentina\n
tango	main	2	Argentina\n
tango	main	3	Argentina\n
tango	main	4	Argentina\n
tango	main	5	Argentina\n
tango	para	1	Argentina\n
tango	para	2	Argentina\n
jog	main	1	USA\n
jog	main	2	Australia\n
jog	main	3	Japan\n
jog	main	4	USA\n
jog	main	5	Japan\n
jog	para	1	Japan\n
jog	para	2	Japan\n
vodka	main	1	Russia\n
vodka	main	2	Russia\n
vodka	main	3	Poland\n
vodka	main	4	Russia\n
vodka	main	5	Poland\n
vodka	para	1	Russia\n
vodka	para	2	Poland\n
lemonade	main	1	USA\n
lemonade	main	2	USA\n
lemonade	main	3	United States\n
lemonade	main	4	USA\n
lemonade	main	5	USA\n
lemonade	para	1	USA\n
lemonade	para	2	USA\n
yoga	main	1	India\n
yoga	main	2	India\n
yoga	main	3	India\n
yoga	main	4	India\n
yoga	main	5	India\n
yoga	para	1	India\n
yoga	para	2	India\n
stretching	main	1	Germany\n
stretching	main	2	USA\n
stretching	main	3	Germany\n
stretching	main	4	Netherlands\n
stretching	main	5	Netherlands\n
stretching	para	1	Spain\n
stretching	para	2	Spain\n
pyramid	main	1	Egypt\n
pyramid	main	2	Egypt\n
pyramid	main	3	Egypt\n
pyramid	main	4	Egypt\n
pyramid	main	5	Egypt\n
pyramid	para	1	Egypt\n
pyramid	para	2	Egypt\n
cube	main	1	Cuba\n
cube	main	2	Cuba\n
cube	main	3	New\n
cube	main	4	Cuba\n
cube	main	5	Cuba\n
cube	para	1	Cuba\n
cube	para	2	Cuba\n
sauna	main	1	Finland\n
sauna	main	2	Finland\n
sauna	main	3	Finland\n
sauna	main	4	Finland\n
sauna	main	5	Finland\n
sauna	para	1	Finland\n
sauna	para	2	Finland\n
garage	main	1	France\n
garage	main	2	France\n
garage	main	3	France\n
garage	main	4	France\n
garage	main	5	France\n
garage	para	1	France\n
garage	para	2	France\n
flamenco	main	1	Spain\n
flamenco	main	2	Spain\n
flamenco	main	3	Spain\n
flamenco	main	4	Spain\n
flamenco	main	5	Spain\n
flamenco	para	1	Spain\n
flamenco	para	2	Spain\n
clapping	main	1	Japan\n
clapping	main	2	Nigeria\n
clapping	main	3	Mozambique\n
clapping	main	4	Philippines\n
clapping	main	5	Mexico\n
clapping	para	1	Canada\n
clapping	para	2	Ghana\n
bagpipe	main	1	Scotland\n
bagpipe	main	2	Scotland\n
bagpipe	main	3	Scotland\n
bagpipe	main	4	Scotland\n
bagpipe	main	5	Scotland\n
bagpipe	para	1	Scotland\n
bagpipe	para	2	Scotland\n
whistle	main	1	Scotland\n
whistle	main	2	United Kingdom\n
whistle	main	3	England\n
whistle	main	4	United Kingdom\n
whistle	main	5	England\n
whistle	para	1	Belgium\n
whistle	para	2	Croatia\n
sombrero	main	1	Mexico\n
sombrero	main	2	Mexico\n
sombrero	main	3	Mexico\n
sombrero	main	4	Mexico\n
sombrero	main	5	Mexico\n
sombrero	para	1	Mexico\n
sombrero	para	2	Mexico\n
helmet	main	1	France\n
helmet	main	2	France\n
helmet	main	3	Germany\n
helmet	main	4	France\n
helmet	main	5	Germany\n
helmet	para	1	Adidas\n
helmet	para	2	Czech\n
